Time;FPS;ProcessTime;PhysicsTime;Memory(GiB);DrawCalls
0.15;1;0.000000;0.000000;0.069;0
0.25;2;0.066366;0.000440;0.071;50
0.36;2;0.066366;0.000440;0.071;50
0.48;2;0.066366;0.000440;0.071;50
0.58;2;0.066366;0.000440;0.071;50
0.68;2;0.066366;0.000440;0.071;50
0.79;2;0.066366;0.000440;0.071;50
0.91;2;0.066366;0.000440;0.071;50
1.03;2;0.066366;0.000440;0.071;50
1.14;2;0.066366;0.000440;0.071;50
1.26;61;0.017789;0.000102;0.071;50
1.38;61;0.017789;0.000102;0.071;50
1.49;61;0.017789;0.000102;0.071;50
1.61;61;0.017789;0.000102;0.071;50
1.73;61;0.017789;0.000102;0.071;50
1.84;61;0.017789;0.000102;0.071;50
1.96;61;0.017789;0.000102;0.071;50
2.08;61;0.017789;0.000102;0.071;50
2.19;60;0.017567;0.000109;0.071;50
2.31;60;0.017567;0.000109;0.071;50
2.43;60;0.017567;0.000109;0.071;50
2.54;60;0.017567;0.000109;0.071;50
2.66;60;0.017567;0.000109;0.071;50
2.78;60;0.017567;0.000109;0.071;50
2.89;60;0.017567;0.000109;0.071;50
3.01;60;0.017567;0.000109;0.071;50
3.13;60;0.017567;0.000109;0.071;50
3.24;60;0.017571;0.000092;0.071;50
3.36;60;0.017571;0.000092;0.071;50
3.48;60;0.017571;0.000092;0.071;50
3.59;60;0.017571;0.000092;0.071;50
3.71;60;0.017571;0.000092;0.071;50
3.83;60;0.017571;0.000092;0.071;50
3.94;60;0.017571;0.000092;0.071;50
4.06;60;0.017571;0.000092;0.071;50
4.18;60;0.017571;0.000092;0.071;50
4.29;60;0.017337;0.000057;0.071;50
4.41;60;0.017337;0.000057;0.071;50
4.53;60;0.017337;0.000057;0.071;50
4.64;60;0.017337;0.000057;0.071;50
4.76;60;0.017337;0.000057;0.071;50
4.88;60;0.017337;0.000057;0.072;50
4.99;60;0.017337;0.000057;0.072;50
5.11;60;0.017337;0.000057;0.072;50
5.23;61;0.017912;0.000167;0.072;50
5.34;61;0.017912;0.000167;0.072;50
5.46;61;0.017912;0.000167;0.072;50
5.58;61;0.017912;0.000167;0.072;50
5.69;61;0.017912;0.000167;0.072;50
5.81;61;0.017912;0.000167;0.072;50
5.93;61;0.017912;0.000167;0.072;50
6.04;61;0.017912;0.000167;0.072;50
6.16;61;0.017912;0.000167;0.072;50
6.28;60;0.017511;0.000076;0.072;50
6.39;60;0.017511;0.000076;0.072;50
6.51;60;0.017511;0.000076;0.072;50
6.63;60;0.017511;0.000076;0.072;50
6.74;60;0.017511;0.000076;0.072;50
6.86;60;0.017511;0.000076;0.072;50
6.98;60;0.017511;0.000076;0.072;50
7.09;60;0.017511;0.000076;0.072;50
7.21;60;0.017684;0.000082;0.072;50
7.33;60;0.017684;0.000082;0.072;50
7.44;60;0.017684;0.000082;0.072;50
7.56;60;0.017684;0.000082;0.072;50
7.68;60;0.017684;0.000082;0.072;50
7.79;60;0.017684;0.000082;0.072;50
7.91;60;0.017684;0.000082;0.072;50
8.03;60;0.017684;0.000082;0.072;50
8.14;60;0.017684;0.000082;0.072;50
8.26;60;0.017857;0.000123;0.072;50
8.38;60;0.017857;0.000123;0.072;50
8.49;60;0.017857;0.000123;0.072;50
8.61;60;0.017857;0.000123;0.072;50
8.73;60;0.017857;0.000123;0.072;50
8.84;60;0.017857;0.000123;0.072;50
8.96;60;0.017857;0.000123;0.072;50
9.08;60;0.017857;0.000123;0.072;50
9.19;60;0.017857;0.000123;0.072;50
9.31;60;0.017763;0.000093;0.072;50
9.43;60;0.017763;0.000093;0.072;50
9.54;60;0.017763;0.000093;0.072;50
9.66;60;0.017763;0.000093;0.072;50
9.78;60;0.017763;0.000093;0.072;50
9.89;60;0.017763;0.000093;0.072;50
10.01;60;0.017763;0.000093;0.072;50
10.12;60;0.017763;0.000093;0.072;50
10.24;60;0.017508;0.000195;0.072;50
10.36;60;0.017508;0.000195;0.072;50
10.47;60;0.017508;0.000195;0.072;50
10.59;60;0.017508;0.000195;0.072;50
10.71;60;0.017508;0.000195;0.072;50
10.82;60;0.017508;0.000195;0.072;50
10.94;60;0.017508;0.000195;0.072;50
11.06;60;0.017508;0.000195;0.072;50
11.17;60;0.017508;0.000195;0.072;50
11.29;60;0.022487;0.000122;0.072;50
11.41;60;0.022487;0.000122;0.072;50
11.52;60;0.022487;0.000122;0.072;50
11.64;60;0.022487;0.000122;0.072;50
11.76;60;0.022487;0.000122;0.072;50
11.87;60;0.022487;0.000122;0.072;50
11.99;60;0.022487;0.000122;0.072;50
12.11;60;0.022487;0.000122;0.072;50
12.22;60;0.018691;0.000065;0.072;50
12.34;60;0.018691;0.000065;0.072;50
12.46;60;0.018691;0.000065;0.072;50
12.57;60;0.018691;0.000065;0.072;50
12.69;60;0.018691;0.000065;0.072;50
12.81;60;0.018691;0.000065;0.072;50
12.92;60;0.018691;0.000065;0.072;50
13.04;60;0.018691;0.000065;0.072;50
13.16;60;0.018691;0.000065;0.072;50
13.27;60;0.017341;0.000067;0.072;50
13.39;60;0.017341;0.000067;0.072;50
13.51;60;0.017341;0.000067;0.072;50
13.62;60;0.017341;0.000067;0.072;50
13.74;60;0.017341;0.000067;0.072;50
13.86;60;0.017341;0.000067;0.072;50
13.97;60;0.017341;0.000067;0.072;50
14.09;60;0.017341;0.000067;0.072;50
14.21;60;0.018163;0.000076;0.072;50
14.32;60;0.018163;0.000076;0.072;50
